"chekhov_V1_36_Nenuzhnaya_pobe" "chekhov_V7_11_Step_Istoriya_" "chekhov_V7_7_Duel" "chekhov_V9_11_Moya_zhizn_Ras" "chekhov_V9_4_Tri_goda" "gogol_bulba" "gogol_md" "gogol_portret" "lermontov_bela" "lermontov_knyaginya_lig" "lermontov_knyazhna_mery" "lermontov_vadim" "leskov_010" "leskov_015" "leskov_018" "leskov_020" "tolstoy_v02_079_226_Junost" "tolstoy_v09_003_360_Vojna_i_mir_Tom_pervyj" "tolstoy_v12_003_341_Vojna_i_mir_Tom_chetvertyj" "tolstoy_v18_003_458_Anna_Karenina_Chasti_1_4" "turgenev_dym" "turgenev_nov" "turgenev_otsy_i_deti" "unknown_013"
"chekhov_V1_36_Nenuzhnaya_pobe" 0 1.11053380003953 1.04397935350685 1.16983738957592 1.12513795692243 1.22099679892387 1.34425591750864 1.39573616242351 1.2578403128406 0.91344373474955 0.970697679551548 0.985966089601622 1.01125663134384 1.06307495408849 1.1196978080539 1.18369920951637 1.36805836305674 0.982334998950118 1.24918954503459 1.18609989685071 1.07948562452129 1.0162371431565 1.00836627712868 1.32808238462846
"chekhov_V7_11_Step_Istoriya_" 1.11053380003953 0 0.952192921525704 1.10471639243098 0.994194012754764 1.05806588872933 1.21013489724918 1.33872752209492 1.21064255059234 1.10074096599727 1.40331718306802 1.12789317885334 1.05323027965201 0.956727106833013 1.11789121345949 1.21246516438892 1.32319037328594 0.917956860407365 1.10647440904882 1.23892080609674 1.12768052417524 1.0754765035303 1.11918061785228 1.17375007051991
"chekhov_V7_7_Duel" 1.04397935350685 0.952192921525704 0 1.02620041960661 0.851594333276343 1.2323950302923 1.14020499050158 1.3035864379929 1.17758827120092 1.03057537445299 1.13003143462777 1.14518811229891 1.02246211714357 0.978399551360437 1.10326465804778 1.16580287590579 1.27654851279293 0.887630366174681 1.13219090569788 1.05399627646405 0.969903923279676 0.844942537505044 0.911936473017773 1.18044097403215
"chekhov_V9_11_Moya_zhizn_Ras" 1.16983738957592 1.10471639243098 1.02620041960661 0 0.7413910413784 1.40478990654403 1.22938216594916 1.31497236224067 1.34040547286202 1.07766559671867 1.14446061690474 1.35270480757055 1.11484294508459 1.25897670400829 1.1312889490754 1.0217270955948 0.934493869990113 1.07361292676372 1.1466481764143 1.18371733206629 1.28076564199332 1.25380028639129 1.2545309275949 1.30849630428817
"chekhov_V9_4_Tri_goda" 1.12513795692243 0.994194012754764 0.851594333276343 0.7413910413784 0 1.32394041914138 1.23560837520846 1.18719273099084 1.35889972816486 1.05297233433925 1.29645055074347 1.26388830862468 1.04193953526592 1.11617835526704 0.964818213976692 1.13980518017933 1.143088447401 0.943158068676915 1.13917097424405 0.868778106740772 1.07962235577434 1.06441290556275 1.03646991373242 1.31366842024787
"gogol_bulba" 1.22099679892387 1.05806588872933 1.2323950302923 1.40478990654403 1.32394041914138 0 0.978400961481119 1.08416978707711 1.27653250144486 1.25997260997864 1.38765694846592 1.12605601290285 1.2959674081775 1.16208807923799 1.27401718812703 1.36450606887831 1.3101216538264 1.15288687286299 1.26798390516755 1.43765214467183 1.47069729823071 1.35276335326044 1.48600819023279 1.42400154810756
"gogol_md" 1.34425591750864 1.21013489724918 1.14020499050158 1.22938216594916 1.23560837520846 0.978400961481119 0 1.04706805419419 1.25049509417107 1.19052706843508 1.32116139231998 1.269955984822 1.19695204651057 1.08503468277787 1.07830051061738 1.21852598301805 1.14126047164957 1.12911836689924 1.19384566757857 1.27711283571658 1.32169237378724 1.1811715198856 1.27493443802455 1.08611444034872
"gogol_portret" 1.39573616242351 1.33872752209492 1.3035864379929 1.31497236224067 1.18719273099084 1.08416978707711 1.04706805419419 0 1.52870213531376 1.1940428308761 1.45955389939614 1.20000587110148 1.35144581475982 1.32840660997011 1.24649790930231 1.37394775568651 1.19885838887263 1.14407488537784 1.05103652877742 1.32281658703929 1.42968564787751 1.30205917238167 1.45382984521711 1.46307787222109
"lermontov_bela" 1.2578403128406 1.21064255059234 1.17758827120092 1.34040547286202 1.35889972816486 1.27653250144486 1.25049509417107 1.52870213531376 0 1.26312940052109 1.12349930993911 1.17411480708533 1.23883310530197 1.22042009812887 1.31452097155166 1.38332147496802 1.43288132960956 1.20705956143818 1.56135196556219 1.38892015085498 1.27729054170467 1.16988225816143 1.22681330766696 1.36609103446958
"lermontov_knyaginya_lig" 0.91344373474955 1.10074096599727 1.03057537445299 1.07766559671867 1.05297233433925 1.25997260997864 1.19052706843508 1.1940428308761 1.26312940052109 0 0.935663158928269 0.859869593189171 0.883922842815201 1.06476370549623 0.961741659235424 1.06600743068327 1.10947361675094 0.89854687156992 1.03220291584148 1.06643891857735 1.07778008014763 1.00801801092434 1.06504421945989 1.27211680223352
