Source,Target,Weight,Type
chekhov_V1_36_Nenuzhnaya_pobe,lermontov_knyaginya_lig,3,undirected
chekhov_V1_36_Nenuzhnaya_pobe,lermontov_knyazhna_mery,4,undirected
chekhov_V1_36_Nenuzhnaya_pobe,lermontov_vadim,2,undirected
chekhov_V1_36_Nenuzhnaya_pobe,tolstoy_v09_003_360_Vojna_i_mir_Tom_pervyj,1,undirected
chekhov_V7_11_Step_Istoriya_,chekhov_V7_7_Duel,2,undirected
chekhov_V7_11_Step_Istoriya_,gogol_bulba,2,undirected
chekhov_V7_11_Step_Istoriya_,leskov_015,1,undirected
chekhov_V7_11_Step_Istoriya_,tolstoy_v09_003_360_Vojna_i_mir_Tom_pervyj,3,undirected
chekhov_V7_7_Duel,chekhov_V7_11_Step_Istoriya_,2,undirected
chekhov_V7_7_Duel,chekhov_V9_4_Tri_goda,4,undirected
chekhov_V7_7_Duel,tolstoy_v09_003_360_Vojna_i_mir_Tom_pervyj,3,undirected
chekhov_V7_7_Duel,turgenev_nov,3,undirected
chekhov_V9_11_Moya_zhizn_Ras,chekhov_V9_4_Tri_goda,6,undirected
chekhov_V9_11_Moya_zhizn_Ras,leskov_020,1,undirected
chekhov_V9_11_Moya_zhizn_Ras,tolstoy_v02_079_226_Junost,5,undirected
chekhov_V9_4_Tri_goda,chekhov_V7_7_Duel,4,undirected
chekhov_V9_4_Tri_goda,chekhov_V9_11_Moya_zhizn_Ras,6,undirected
chekhov_V9_4_Tri_goda,tolstoy_v18_003_458_Anna_Karenina_Chasti_1_4,3,undirected
gogol_bulba,chekhov_V7_11_Step_Istoriya_,2,undirected
gogol_bulba,gogol_md,6,undirected
gogol_bulba,gogol_portret,2,undirected
gogol_md,gogol_bulba,6,undirected
gogol_md,gogol_portret,5,undirected
gogol_md,leskov_018,1,undirected
gogol_portret,gogol_bulba,2,undirected
gogol_portret,gogol_md,5,undirected
gogol_portret,tolstoy_v12_003_341_Vojna_i_mir_Tom_chetvertyj,2,undirected
lermontov_bela,lermontov_knyazhna_mery,3,undirected
lermontov_bela,lermontov_vadim,1,undirected
lermontov_bela,turgenev_nov,2,undirected
lermontov_knyaginya_lig,chekhov_V1_36_Nenuzhnaya_pobe,3,undirected
lermontov_knyaginya_lig,lermontov_knyazhna_mery,3,undirected
lermontov_knyaginya_lig,lermontov_vadim,6,undirected
lermontov_knyaginya_lig,leskov_010,2,undirected
lermontov_knyaginya_lig,tolstoy_v09_003_360_Vojna_i_mir_Tom_pervyj,1,undirected
lermontov_knyazhna_mery,chekhov_V1_36_Nenuzhnaya_pobe,4,undirected
lermontov_knyazhna_mery,lermontov_bela,3,undirected
lermontov_knyazhna_mery,lermontov_knyaginya_lig,3,undirected
lermontov_knyazhna_mery,leskov_010,1,undirected
lermontov_vadim,chekhov_V1_36_Nenuzhnaya_pobe,2,undirected
lermontov_vadim,lermontov_bela,1,undirected
lermontov_vadim,lermontov_knyaginya_lig,6,undirected
