"chekhov_V1_36_Nenuzhnaya_pobe" "chekhov_V7_11_Step_Istoriya_" "chekhov_V7_7_Duel" "chekhov_V9_11_Moya_zhizn_Ras" "chekhov_V9_4_Tri_goda" "gogol_bulba" "gogol_md" "gogol_portret" "lermontov_bela" "lermontov_knyaginya_lig" "lermontov_knyazhna_mery" "lermontov_vadim" "leskov_010" "leskov_015" "leskov_018" "leskov_020" "tolstoy_v02_079_226_Junost" "tolstoy_v09_003_360_Vojna_i_mir_Tom_pervyj" "tolstoy_v12_003_341_Vojna_i_mir_Tom_chetvertyj" "tolstoy_v18_003_458_Anna_Karenina_Chasti_1_4" "turgenev_dym" "turgenev_nov" "turgenev_otsy_i_deti" "unknown_013"
"p" 7.2357051619205 5.71599481572563 6.2931508523248 4.33438590659797 5.24789490234443 2.67569056425592 2.97134008580205 1.25707102451288 4.89236790606654 5.22968197879859 6.61891612012427 5.02403564310001 7.0982135254347 6.52635373277796 6.4053207903291 5.47855020373303 2.55845244827519 5.37980627331026 4.27441449805667 5.32387910602707 6.60146093846725 7.38870785023986 8.13627570960483 6.05754158871416
"и" 3.64039371853633 5.43351832773919 5.28807967251176 5.30164533820841 5.32825547674784 5.01560819495816 3.89790064224608 3.99977144163191 3.43355274862124 3.63452801615346 2.88229202623404 3.64931410481885 4.10088727669068 4.69801345722525 4.53136000719026 4.72589455703635 4.82439890017745 4.23944833507741 4.4509980612217 4.57824874803309 3.59539432957781 3.49505601320261 3.35359835774348 4.55748259763024
"в" 1.94605154406792 1.92748662390748 2.30952526425124 2.58600631543959 2.55756262883896 2.27171375357415 2.47759754271063 2.83983772355865 1.85909980430528 2.24634023220596 1.88557128063514 2.01664907961074 1.98572863979291 1.8974287087472 2.3233518582321 2.22949769577054 2.46875060938749 2.02760113409715 2.40663371653787 1.94830209129075 1.98093351491891 1.89927413602607 1.90478070348585 2.19109740270685
"не" 2.08881208204974 1.77461699511482 1.8604509073135 1.70184477314276 1.95660528982216 2.03300018362582 2.05366435661158 1.80561110793669 1.91247109055328 1.80212014134276 1.98481187435278 1.87009028022042 1.8784379842981 1.91945690483819 2.18104468445257 2.02131634668422 1.88763869659328 1.65910900033093 1.81953888024176 2.27149563525487 2.2706450414758 2.14682312135495 2.28968457621097 2.03434966543628
"что" 0.909159215568412 1.15649197434449 1.54884829229547 1.52567724779791 1.49889940952447 1.30112011752053 1.82773589216358 1.39420604536884 1.87689023305462 1.40837960625946 1.61373835001726 1.07281041153711 1.46971167765119 1.80531079782121 1.63728148358974 1.90032205832636 2.16064429320801 1.06701727083277 1.44634681375895 2.17616986269171 1.31484462052742 1.54543293100796 1.48039951048123 1.86580371138191
"на" 1.49898564880908 1.87099132631019 1.30750901203641 1.53564899451554 1.28576919045456 1.96217308045434 1.51803619932475 1.4970573110108 1.68119551681196 1.40837960625946 1.53607179841215 1.52128033767147 1.32154839149168 1.2556071771868 1.07404466947286 1.14410775608975 1.74333573838264 1.4033110628136 1.25155875954598 1.24837587082705 1.22075027856878 1.28669529097495 1.24945718684616 1.23207092413747
"он" 1.06694717860095 1.39908942873284 1.59467220626871 0.824331061991025 1.69805387652423 0.92599879331602 1.09664153529815 1.9541740471973 1.45881515744529 1.33770822816759 0.89316534345875 1.37472153828116 0.655665116912754 0.823053508490868 0.95720298994862 0.683261863667906 0.867767789239679 1.583979536165 1.52917724802709 1.91761502752042 1.3495109570385 1.46571376624103 1.43302672614583 0.763513171866309
"я" 1.14584116011721 0.428699611179422 1.04478523858985 2.18713644673425 0.873484504384892 0.317410351249967 0.581321554590917 0.428546940174847 2.24159402241594 0.989399293286219 3.21884708318951 0.935045140110212 1.38285733748872 1.20153796859981 0.714531809398265 2.25974626786 2.57405276808175 0.67169318557872 0.425074865969435 1.17394341827774 1.47084313482729 1.28669529097495 1.4586869843275 1.89277106403061
"с" 0.792696671425351 1.14319896314513 1.14559784933097 1.196609606116 1.19492680199853 0.991579444400724 1.06237148732008 1.13707788126393 1.01405443871197 1.17617364967188 0.983776320331377 0.847109860476023 1.26364549805003 1.21054950336431 1.23282951600581 1.10318321738047 1.32407714358144 1.2065434185695 1.14051136415354 1.18961340828812 1.25294044818621 1.10627823387085 1.36196754964273 1.21184540965094
"как" 0.525959876775115 0.857399222358845 0.925643062259424 1.00382250290843 0.733726983683309 0.939114923532961 1.08775670804458 0.948517227586995 0.951787938089308 0.610802624936901 0.677424922333448 0.870559268378473 0.722083141742877 0.803027875680872 0.816393786419402 0.839842707425135 0.969169867982294 0.906025561905784 0.871995121196399 0.910818169353417 0.827039742478643 0.790198738479182 0.724408827128814 0.812391498542077
